wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster
JAX,2024-01-09 21:04,2024-01-09 21:30,2024-01-09 21:04,202401092130,TO,P,W,13,NEW,,816.895128455853,2024-01-09 21:04,,,,,False,2024-01-09 21:04,2024-01-09 21:28,,0.75,RADAR INDICATED,,202401092104-KJAX-WFUS52-TORJAX,AB
MOB,2024-01-09 10:48,2024-01-09 11:45,2024-01-09 10:48,202401091145,SV,P,W,17,NEW,,8967.612751040035,2024-01-09 10:48,,,,,False,2024-01-09 10:48,2024-01-09 11:45,70.0,0.75,POSSIBLE,CONSIDERABLE,202401091048-KMOB-WUUS54-SVRMOB,Black
MFL,2024-06-14 17:40,2024-06-14 20:00,2024-06-14 17:40,202406142000,FA,P,Y,70,NEW,,389.3615141036458,2024-06-14 17:40,00000,N,ER,OO,False,2024-06-14 17:40,2024-06-14 19:50,,,,,202406141740-KMFL-WGUS82-FLSMFL,RAG
MFL,2024-03-23 01:33,2024-03-23 04:45,2024-03-23 01:33,202403230445,FA,P,Y,10,NEW,,132.9314399225188,2024-03-23 01:33,00000,N,ER,OO,False,2024-03-23 01:33,2024-03-23 03:33,,,,,202403230133-KMFL-WGUS82-FLSMFL,BAXTER
MLB,2024-05-15 16:07,2024-05-15 17:00,2024-05-15 16:07,202405151700,MA,P,W,59,NEW,,1118.1703144427706,2024-05-15 16:07,,,,,False,2024-05-15 16:07,2024-05-15 16:50,34.0,0.75,,,202405151607-KMLB-WHUS52-SMWMLB,Fehling
MFL,2024-10-07 11:03,2024-10-07 13:00,2024-10-07 11:03,202410071300,FA,P,Y,227,NEW,,491.2139472248836,2024-10-07 11:03,00000,N,ER,OO,False,2024-10-07 11:03,2024-10-07 13:00,,,,,202410071103-KMFL-WGUS82-FLSMFL,BAXTER
MFL,2024-06-24 17:41,2024-06-24 18:58,2024-06-24 17:41,202406241945,FA,P,Y,76,NEW,,336.7507709781078,2024-06-24 17:41,00000,N,ER,OO,False,2024-06-24 17:41,2024-06-24 18:58,,,,,202406241741-KMFL-WGUS82-FLSMFL,NC
MFL,2024-10-06 12:09,2024-10-06 15:15,2024-10-06 12:09,202410061515,FA,P,Y,221,NEW,,584.294474833528,2024-10-06 12:09,00000,N,ER,OO,False,2024-10-06 12:09,2024-10-06 13:15,,,,,202410061209-KMFL-WGUS82-FLSMFL,BAXTER
MLB,2024-05-25 19:43,2024-05-25 20:19,2024-05-25 19:43,202405252030,SV,P,W,51,NEW,,593.1331828640883,2024-05-25 19:43,,,,,False,2024-05-25 19:43,2024-05-25 20:19,60.0,1.0,POSSIBLE,,202405251943-KMLB-WUUS52-SVRMLB,Watson
MFL,2024-05-25 23:19,2024-05-25 23:45,2024-05-25 23:19,202405252345,SV,P,W,35,NEW,,801.8133365277976,2024-05-25 23:19,,,,,False,2024-05-25 23:19,2024-05-25 23:45,60.0,1.75,,CONSIDERABLE,202405252319-KMFL-WUUS52-SVRMFL,WR
